scene_id,scene_label,truth,model,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,yolo_meta,clip_label,clip_risk,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,1,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,unknown url type: ''
1,person_near,hazard,gpt4o,1,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,185.5,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gpt4o_mini,1,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gemini,1,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,846.7,0,0,0.0,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API Key not found. Ple"
1,person_near,hazard,claude,2,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.1,0,0,0.0,unknown url type: ''
1,person_near,hazard,gpt4o,2,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gpt4o_mini,2,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gemini,2,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,587.9,0,0,0.0,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API Key not found. Ple"
1,person_near,hazard,claude,3,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,unknown url type: ''
1,person_near,hazard,gpt4o,3,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gpt4o_mini,3,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gemini,3,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,656.4,0,0,0.0,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API Key not found. Ple"
1,person_near,hazard,claude,4,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,unknown url type: ''
1,person_near,hazard,gpt4o,4,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gpt4o_mini,4,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.0,0,0,0.0,"Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_k"
1,person_near,hazard,gemini,4,0,0,0,0,0,0,,,0,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,667.9,0,0,0.0,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API Key not found. Ple"
